,skill,count,degree,standard_count,standard_degree,skill profile,job
45,Business Requirements,3,37,0.07805600093717587,0.12467125020451994,bridging,Blockchain Engineers
48,"Maintenance, Repair, and Facility Services",3,50,0.07805600093717587,0.5897803293339656,bridging,Blockchain Engineers
55,Business Analysis,3,38,0.07805600093717587,0.16044887167601576,bridging,Blockchain Engineers
57,Writing,3,51,0.07805600093717587,0.6255579508054615,bridging,Blockchain Engineers
58,Facebook,3,47,0.07805600093717587,0.48244746491947815,bridging,Blockchain Engineers
59,Software Architecture,3,48,0.07805600093717587,0.518225086390974,bridging,Blockchain Engineers
61,Administration,3,68,0.07805600093717587,1.2337775158208906,bridging,Blockchain Engineers
64,Automation,3,34,0.07805600093717587,0.017338385790032468,bridging,Blockchain Engineers
67,PHP,3,66,0.07805600093717587,1.1622222728778988,bridging,Blockchain Engineers
71,Solution Design,3,54,0.07805600093717587,0.7328908152199489,bridging,Blockchain Engineers
0,"Policy Analysis, Research, and Development",2037,1181,20.458966843702942,9.442029052272904,core,Software Developers
1,Design,1617,992,16.193680544561268,7.819138850826453,core,Software Developers
2,Science and Research,1019,870,10.120725290069071,6.771558932432449,core,Software Developers
3,"Company, Product, and Service Knowledge",992,901,9.846528313695677,7.037747272352237,core,Software Developers
4,Computer Science,978,827,9.704352103724288,6.402329944801775,core,Software Developers
5,"Water Supply, Testing, and Treatment",922,761,9.135647263838731,5.835606382391904,core,Software Developers
6,Communication,900,895,8.912227505312263,6.986226948496794,core,Software Developers
7,Business,891,909,8.820828513187797,7.106441037492828,core,Software Developers
8,JavaScript,844,657,8.343522665426706,4.942587435564229,core,Software Developers
9,JavaScript and jQuery,844,672,8.343522665426706,5.071388245202836,core,Software Developers
10,"Engineering, Scientific, and Technical Instruments",797,852,7.866216817665613,6.6169979608661205,core,Software Developers
11,Software Development,740,636,7.287356534210671,4.762266302070179,core,Software Developers
12,Java,700,700,6.881138791435273,5.3118164231949025,core,Software Developers
13,C,666,748,6.535853710076185,5.723979014038445,core,Software Developers
14,C and C++,666,753,6.535853710076185,5.766912617251314,core,Software Developers
15,Git,559,551,5.449221248151996,4.032395047451406,core,Software Developers
16,Cascading Style Sheets (CSS),531,564,5.164868828209217,4.144022415804865,core,Software Developers
17,Architecture and Construction,529,667,5.144557941070447,5.028454641989967,core,Software Developers
18,C#,506,636,4.910982738974593,4.762266302070179,core,Software Developers
19,Application Programming Interface (API),505,623,4.900827295405208,4.650638933716719,core,Software Developers
20,Information Technology,505,637,4.900827295405208,4.770853022712752,core,Software Developers
21,HyperText Markup Language (HTML),501,581,4.860205521127669,4.289996666728619,core,Software Developers
22,Amazon Web Services (AWS),479,580,4.6367857626012,4.281409946086046,core,Software Developers
23,Analysis,410,716,3.936060156313639,5.449203953476084,core,Software Developers
24,Python,385,618,3.682174067079015,4.60770533050385,core,Software Developers
25,Language,379,629,3.6212414056627056,4.702159257572162,core,Software Developers
26,Production and Assembly,367,558,3.499376082830086,4.092502091949422,core,Software Developers
27,UI/UX,363,547,3.4587543085525465,3.99804816488111,core,Software Developers
28,MySQL,363,526,3.4587543085525465,3.81772703138706,core,Software Developers
29,Android,362,448,3.448598864983161,3.147962821266303,core,Software Developers
30,Automation,358,623,3.4079770907056215,4.650638933716719,core,Software Developers
31,PHP,357,467,3.3978216471362366,3.3111105134752057,core,Software Developers
32,Writing,348,545,3.3064226550117723,3.9808747235959623,core,Software Developers
33,"Maintenance, Repair, and Facility Services",341,601,3.2353345500260775,4.461731079580096,core,Software Developers
34,React,329,473,3.113469227193458,3.3626308373306486,core,Software Developers
35,jQuery,326,485,3.0830028964853033,3.465671485041534,core,Software Developers
36,Databases,324,551,3.0626920093465335,4.032395047451406,core,Software Developers
37,DevOps,312,553,2.940826686513914,4.049568488736553,core,Software Developers
38,"Fire Prevention, Safety, and Control",298,583,2.798650476542525,4.307170108013767,core,Software Developers
39,Web Services,291,452,2.7275623715568305,3.1823097038365984,core,Software Developers
40,Linux,281,545,2.626007935862981,3.9808747235959623,core,Software Developers
41,Application Development,262,452,2.433054508044667,3.1823097038365984,core,Software Developers
42,Debugging,257,465,2.382277290197742,3.293937072190058,core,Software Developers
43,ASP.NET,254,424,2.3518109594895873,2.941881525844532,core,Software Developers
44,HTML5,249,432,2.3010337416426627,3.0105752909851224,core,Software Developers
45,Web Development,237,382,2.1791684188100433,2.5812392588564324,core,Software Developers
46,Unit Testing,235,422,2.1588575316712735,2.9247080845593842,core,Software Developers
47,Scripting,234,586,2.1487020881018886,4.332930269941489,core,Software Developers
48,Web Applications,226,381,2.067458539546809,2.5726525382138585,core,Software Developers
49,Oracle,224,547,2.047147652408039,3.99804816488111,core,Software Developers
50,JSON,211,447,1.9151268860060349,3.1393761006237293,specialized,Software Developers
51,Docker,209,440,1.8948159988672648,3.079269056125713,specialized,Software Developers
52,Software Engineering,206,458,1.86434966815911,3.2338300276920413,specialized,Software Developers
53,Problem Solving,200,480,1.8034170067428004,3.422737881828665,specialized,Software Developers
54,Business Requirements,196,445,1.7627952324652607,3.122202659338582,specialized,Software Developers
55,Continuous Integration,189,435,1.691707127479566,3.036335452912844,specialized,Software Developers
56,Object-Oriented Programming (OOP),185,347,1.6510853532020262,2.280704036366349,specialized,Software Developers
57,Programming languages,183,376,1.6307744660632564,2.5297189350009894,specialized,Software Developers
58,Computer Engineering,176,372,1.5596863610775618,2.495372052430694,specialized,Software Developers
59,"Law, Regulation, and Compliance",172,495,1.5190645868000219,3.551538691467272,specialized,Software Developers
60,XML,169,470,1.4885982560918671,3.336870675402927,specialized,Software Developers
61,Spring,165,354,1.4479764818143273,2.3408110808643654,specialized,Software Developers
63,TypeScript,159,372,1.3870438203980178,2.495372052430694,specialized,Software Developers
64,Google,157,427,1.3667329332592477,2.9676416877722533,specialized,Software Developers
65,C++,156,445,1.3565774896898628,3.122202659338582,specialized,Software Developers
66,Jenkins,151,413,1.305800271842938,2.8474275987762203,specialized,Software Developers
67,JIRA,149,431,1.2854893847041684,3.0019885703425486,specialized,Software Developers
68,MongoDB,147,357,1.2651784975653986,2.366571242792087,specialized,Software Developers
69,Bootstrap,147,320,1.2651784975653986,2.0488625790168564,specialized,Software Developers
70,PostgreSQL,146,332,1.2550230539960134,2.1519032267277423,specialized,Software Developers
71,NoSQL,144,384,1.2347121668572436,2.5984127001415795,specialized,Software Developers
