node,HGPA_label,NMF_label
Server_Configuration,12,10
Server_Virtualization,9,14
Servers,9,6
ServiceNow,8,3
Service_Improvement,10,12
Service_Level,5,1
Service_Management,11,7
Service_Quality,10,12
Service_Request_Management,10,12
Shopify,1,2
Simple_Object_Access_Protocol_(SOAP),14,8
Simulations,1,9
Single_Sign-On_(SSO),9,6
Sisense,14,8
Site_Reliability_Engineering,11,5
Sketching,0,8
Slack,0,8
Slowly_Changing_Dimensions,8,3
Small_Computer_System_Interface_(SCSI),9,6
Social_Listening,4,5
Social_Marketing,13,7
Social_Media,2,9
Social_Media_Analytics,2,2
Social_Media_Management,1,0
Social_Media_Marketing,1,9
Social_Networks,13,11
Social_Sciences,1,0
Social_Security,1,0
Social_Skills,11,13
Software_Architecture,7,1
Software_Design,14,4
Software_Development,5,5
Software_Development_Life_Cycle,10,14
Software_Engineering,14,1
Software_Systems,14,1
Solution_Architecture,14,10
Solution_Design,13,8
Source_Data,2,9
Spark_Streaming,11,4
Splunk,6,5
Sports_and_Recreation,6,11
Sprint_Planning,11,5
Stage,0,8
Stakeholder_Engagement,4,13
Stakeholder_Management,11,7
Star_Schema,13,10
Static_Data,14,0
Statistical_Analysis,14,9
Statistical_Methods,12,10
Statistical_Modeling,7,7
Statistical_Packages,1,9
Statistical_Reporting,6,8
Statistical_Software,2,9
Statistical_software,2,9
Statistics,7,7
Stock_Management,0,8
Storage_Area_Network_(SAN),9,6
Storage_Systems,8,12
Storages,10,4
Stored_Procedure,8,3
Storytelling,2,2
Strategic_Analysis,14,1
Strategic_Decision-Making,12,10
Strategic_Marketing,14,9
Strategic_Planning,14,2
Stream_Processing,14,4
Streamlines,4,13
Stress_Testing,4,13
Structural_Equation_Modeling,7,7
Structured_Analysis,13,10
Supervised_Learning,7,7
Supply_And_Demand,1,2
Supply_Chain_Management,0,8
Surrogate_Key,8,3
Surveys,4,5
Sybase_IQ,12,13
Syntax,12,12
System_Administration,10,14
System_Configuration,9,6
System_Design_and_Implementation,6,5
System_Implementation,12,13
System_Integration_Testing,10,14
System_Integrity,10,12
System_Monitoring,10,6
System_Requirements,0,8
System_Support,8,4
System_Testing,5,8
Systems_Development,9,6
Systems_Development_Life_Cycle,9,6
Systems_Integration,0,8
TCP/IP,9,6
Tableau,2,10
Talend,10,4
Talent_Acquisition,2,10
Talent_Management,10,12
Target_Audience,5,13
Target_Market,13,13
Task_Analysis,6,10
Teaching,7,1
Technical_Documentation,8,4
Technical_Engineering,7,7
Technical_Presentations,5,11
Technical_Support_and_Services,6,11
Technical_Writing,14,9
Technology_Assessment,5,9
Technology_Integration,11,1
Technology_Solutions,8,3
Telecommunications,5,3
Templates,8,3
TensorFlow,12,9
Teradata_SQL,11,7
Terraform,0,8
Test_Automation,6,5
Test_Data,7,7
Testability,8,4
Text_Mining,1,9
Thought_Leadership,2,9
Throughput,3,4
Time_Series,7,7
Time_Series_Modeling,7,7
Tivoli,8,3
Tooling,4,13
Toolkits,2,9
Topology,9,6
Training_Analysis,6,10
Training_Programs,6,10
Transaction_Data,1,0
Transfer_Learning,4,5
Transmission,14,0
Transmission_Control_Protocol_(TCP),9,6
"Transportation,_Supply_Chain,_and_Logistics",0,8
Travel_and_Tourism,0,8
Trigonometry,11,7
Turnaround_Time,13,8
Twitter,13,10
TypeScript,5,8
UI/UX,11,7
UNIX,3,3
UNIX_Shell,3,3
Underwriting,13,13
Unit_Testing,6,5
Unix,3,3
Unix_Commands,0,8
Unix_Shell,3,3
Unstructured_Data,14,9
Unsupervised_Learning,7,7
Upskilling,12,10
Uptime,11,1
Usability,12,10
Usability_Testing,12,10
User_Acceptance_Testing_(UAT),13,8
User_Assistance,5,3
User_Defined_Functions,10,12
User_Experience,8,3
User_Flows,6,10
User_Interface,6,10
User_Roles,5,11
VMware,9,6
Valuation_Models,6,5
Value_Chain,2,9
Variance_Analysis,13,10
Ventilation,13,11
Version_Control,7,4
Vertical_Turning_Lathes_(VTL),11,13
Virtual_Environment,9,6
Virtual_Private_Networks_(VPN),1,9
Virtualization,9,6
Visual_Analytics,6,10
Visualization,2,10
Warehousing,10,12
"Water_Supply,_Testing,_and_Treatment",13,3
Wealth_Management,8,12
Web_Administration,9,6
Web_Analytics_and_SEO,2,2
Web_Applications,10,12
Web_Design_and_Development,11,7
Web_Development,6,5
Web_Pages,14,1
Web_Scraping,1,9
Web_Servers,11,7
Web_Services,10,4
Weka,13,13
WhatsApp,2,11
Wholesale_Banking,4,13
WordPress,13,8
Workflow_Management,3,4
Writing,7,7
Writing_and_Editing,12,9
XML,9,6
Xunit,6,5
YAML,11,1
Zapier,2,11
Zendesk,3,4
jQuery,6,8
